iter	Accuracy	Logloss
0	0.7430116185	0.6929518128
1	0.7707350742	0.6927573782
2	0.769124583	0.692560108
3	0.7714252847	0.6923826196
4	0.7636028989	0.6922152973
5	0.7699298286	0.6920639742
6	0.7730357759	0.6918565881
7	0.7782123548	0.6916523826
8	0.7816634073	0.6914595071
9	0.7839641091	0.6912695639
10	0.7839641091	0.6910936138
11	0.7846543196	0.6909027336
12	0.7809731968	0.6907747819
13	0.7784424249	0.6905826574
14	0.7780973197	0.690392461
15	0.7779822846	0.6902038114
16	0.7762567583	0.6900350546
17	0.7764868285	0.6898471623
18	0.7789025653	0.6896614445
19	0.7790176004	0.6894655011
20	0.7813183021	0.6892698957
21	0.7805130565	0.6890809954
22	0.7837340389	0.6889014223
23	0.7809731968	0.6887048167
24	0.7828137582	0.6885349529
25	0.7836190038	0.6883415032
26	0.7821235477	0.6881336104
27	0.7824686529	0.6879593176
28	0.7839641091	0.6877617545
29	0.7813183021	0.6875736834
30	0.7817784424	0.6873954827
31	0.7808581617	0.6872283952
32	0.7821235477	0.6870502694
33	0.7833889336	0.6868694153
34	0.7830438284	0.6866763065
35	0.7817784424	0.6865375166
36	0.7833889336	0.6863653504
37	0.7818934775	0.68616328
38	0.7843092143	0.6859860896
39	0.7837340389	0.6857834925
40	0.7841941792	0.6855877188
41	0.7847693547	0.6853917991
42	0.7848843897	0.685194426
43	0.7847693547	0.6850139416
44	0.7839641091	0.6848485474
45	0.7839641091	0.684645884
46	0.7849994248	0.684467232
47	0.7844242494	0.6842785858
48	0.7840791441	0.6841012752
49	0.7840791441	0.6839007539
50	0.7844242494	0.6837099051
51	0.7847693547	0.6835332972
52	0.7853445301	0.6833606738
53	0.7856896353	0.6831765763
54	0.7863798459	0.6829787112
55	0.7869550213	0.6827945204
56	0.7881053721	0.6826244786
57	0.7881053721	0.6824291516
58	0.787875302	0.6822288299
59	0.7868399862	0.6820541921
60	0.7874151616	0.6818639324
61	0.787875302	0.6816935325
62	0.7871850915	0.6814971261
63	0.7869550213	0.681316632
64	0.7854595652	0.6811368064
65	0.7853445301	0.6809479856
66	0.7856896353	0.6807468527
67	0.786609916	0.6805607252
68	0.7861497757	0.6803805586
69	0.7864948809	0.6801896878
70	0.7867249511	0.6800151838
71	0.7867249511	0.679841097
72	0.786609916	0.6796629208
73	0.7879903371	0.6794717355
74	0.7871850915	0.6792851729
75	0.7863798459	0.6791139913
76	0.7867249511	0.6789280112
77	0.7869550213	0.6787656785
78	0.7864948809	0.6785724606
79	0.7871850915	0.6783902014
80	0.7869550213	0.6782068617
81	0.7869550213	0.6780380684
82	0.7870700564	0.677861332
83	0.7863798459	0.6776862186
84	0.7862648108	0.6775005234
85	0.7859197055	0.6773220733
86	0.786609916	0.6771558833
87	0.786609916	0.6769855392
88	0.7874151616	0.6768210267
89	0.7876452318	0.6766461494
90	0.7877602669	0.6764748021
91	0.7881053721	0.6762948436
92	0.7876452318	0.6761210074
93	0.7877602669	0.6759577693
94	0.7875301967	0.6757732182
95	0.7874151616	0.6756127871
96	0.7876452318	0.6754330344
97	0.787875302	0.6752604212
98	0.7877602669	0.6750806359
99	0.7877602669	0.6748914206
100	0.7879903371	0.6747275231
101	0.7883354423	0.6745622354
102	0.7876452318	0.6744052012
103	0.7883354423	0.6742443469
104	0.787875302	0.674057024
105	0.7881053721	0.6738844282
106	0.7873001265	0.6737079694
107	0.7874151616	0.6735275545
108	0.7870700564	0.6733774479
109	0.7874151616	0.6731968359
110	0.7869550213	0.6730343246
111	0.7870700564	0.6728791932
112	0.7873001265	0.6726898644
113	0.7874151616	0.672519441
114	0.7874151616	0.6723503173
115	0.7871850915	0.6721674161
116	0.7870700564	0.6719984033
117	0.7863798459	0.6718158798
118	0.7863798459	0.6716539437
119	0.7860347406	0.6715021278
120	0.7873001265	0.6713347759
121	0.7873001265	0.6711739758
122	0.7870700564	0.671000354
123	0.7867249511	0.6708299336
124	0.7869550213	0.6706423239
125	0.7869550213	0.6704714851
126	0.7863798459	0.6703078144
127	0.7863798459	0.670139024
128	0.7861497757	0.6699576486
129	0.7861497757	0.6697695163
130	0.786609916	0.6695964931
131	0.7854595652	0.6694064539
132	0.7849994248	0.6692308915
133	0.7862648108	0.6690677962
134	0.7867249511	0.6688995855
135	0.7855746003	0.6687233672
136	0.7851144599	0.6685439932
137	0.7858046704	0.6683859766
138	0.7851144599	0.6681998989
139	0.7854595652	0.6680353346
140	0.7861497757	0.6678839871
141	0.7867249511	0.6677137476
142	0.7873001265	0.6675489068
143	0.7875301967	0.6673938874
144	0.7869550213	0.6672202006
145	0.7870700564	0.6670737846
146	0.7881053721	0.6669114387
147	0.7881053721	0.6667439033
148	0.7879903371	0.6666053891
149	0.7882204072	0.6664517845
150	0.7881053721	0.6662833065
151	0.7875301967	0.6661162648
152	0.7877602669	0.6659558479
153	0.7876452318	0.6658017164
154	0.7874151616	0.6656223783
155	0.7870700564	0.6654525864
156	0.7871850915	0.6652849407
157	0.7875301967	0.6651056769
158	0.7862648108	0.6649376718
159	0.7873001265	0.664779757
160	0.7875301967	0.6646090118
161	0.7858046704	0.6644303922
162	0.7856896353	0.6642676249
163	0.7859197055	0.6641049357
164	0.7856896353	0.6639245939
165	0.7854595652	0.6637521965
166	0.7859197055	0.6635907941
167	0.7859197055	0.6634281294
168	0.7858046704	0.6632501098
169	0.7858046704	0.6630911314
170	0.7862648108	0.6629273939
171	0.7859197055	0.6627470287
172	0.7856896353	0.6625731517
173	0.785229495	0.662404907
174	0.7854595652	0.6622229143
175	0.7861497757	0.6620664384
176	0.7858046704	0.6619155176
177	0.7855746003	0.661768063
178	0.7856896353	0.6616014191
179	0.7860347406	0.6614253261
180	0.7860347406	0.6612560416
181	0.7859197055	0.6610975588
182	0.7858046704	0.6609363725
183	0.7856896353	0.6607690393
184	0.7855746003	0.6605910737
185	0.7858046704	0.6604075253
186	0.7860347406	0.6602610811
187	0.7861497757	0.660099735
188	0.7853445301	0.6599442398
189	0.7853445301	0.6597760781
190	0.785229495	0.6596076615
191	0.7849994248	0.6594576169
192	0.7853445301	0.6592876234
193	0.785229495	0.6591158851
194	0.7858046704	0.6589475433
195	0.7856896353	0.6587724245
196	0.7859197055	0.658597967
197	0.7853445301	0.6584441729
198	0.7859197055	0.658277877
199	0.7858046704	0.6581024929
200	0.7859197055	0.657923008
201	0.7856896353	0.6577563701
202	0.7864948809	0.6575871267
203	0.7864948809	0.65743553
204	0.7864948809	0.6572953907
205	0.7862648108	0.6571291798
206	0.7859197055	0.6569749477
